path,language,duration_s,clipping_rate,vad_ratio,hard_reject_reason
data\audios\hindi\train-00000-of-00064\4778baf1-1370-4b4a-b226-79d9271f2c7e_0_chunk_13.flac,hindi,5.875,0.0,0.2358974358974359,vad_ratio=0.2359 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\4a55903d-5809-45f0-997d-10b0fbb6a099_1_chunk_12.flac,hindi,0.735,0.0,0.25,vad_ratio=0.25 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\4a7ca566-9f44-4689-86a0-f8916df7dc60_1_chunk_2.flac,hindi,2.512,0.0,0.2289156626506024,vad_ratio=0.2289 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\4a7ca566-9f44-4689-86a0-f8916df7dc60_1_chunk_21.flac,hindi,0.641,0.0,0.2857142857142857,vad_ratio=0.2857 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\4a7ca566-9f44-4689-86a0-f8916df7dc60_1_chunk_6.flac,hindi,2.67,0.0,0.20224719101123595,vad_ratio=0.2022 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557769411_chunk_1.flac,hindi,2.075,0.0,0.17391304347826086,vad_ratio=0.1739 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557856912_chunk_1.flac,hindi,1.656,0.0,0.2909090909090909,vad_ratio=0.2909 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557877737_chunk_20.flac,hindi,5.947,0.0,0.17676767676767677,vad_ratio=0.1768 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557877737_chunk_24.flac,hindi,7.408,0.0,0.2032520325203252,vad_ratio=0.2033 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557877737_chunk_9.flac,hindi,6.176,0.0,0.28780487804878047,vad_ratio=0.2878 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557879905_chunk_1.flac,hindi,8.992,0.0,0.2040133779264214,vad_ratio=0.204 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557879905_chunk_2.flac,hindi,7.262,0.0,0.11570247933884298,vad_ratio=0.1157 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557879905_chunk_3.flac,hindi,9.09,0.0,0.13861386138613863,vad_ratio=0.1386 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557879905_chunk_8.flac,hindi,9.568,0.0,0.24213836477987422,vad_ratio=0.2421 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557879905_chunk_9.flac,hindi,11.007,0.0,0.226775956284153,vad_ratio=0.2268 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557890454_chunk_33.flac,hindi,3.277,0.0,0.23853211009174313,vad_ratio=0.2385 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557891285_chunk_10.flac,hindi,4.762,0.0,0.13924050632911392,vad_ratio=0.1392 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557901218_chunk_1.flac,hindi,8.798,0.0,0.1296928327645051,vad_ratio=0.1297 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557901218_chunk_4.flac,hindi,9.281,0.0,0.2783171521035599,vad_ratio=0.2783 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557904306_chunk_1.flac,hindi,2.787,0.0,0.14130434782608695,vad_ratio=0.1413 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557904307_chunk_1.flac,hindi,2.41,0.0,0.1375,vad_ratio=0.1375 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557912870_chunk_1.flac,hindi,0.601,0.0,0.0,vad_ratio=0.0 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557914918_chunk_4.flac,hindi,1.757,0.0,0.25862068965517243,vad_ratio=0.2586 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557914918_chunk_8.flac,hindi,2.074,0.0,0.2898550724637681,vad_ratio=0.2899 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557916181_chunk_1.flac,hindi,1.895,0.0,0.2857142857142857,vad_ratio=0.2857 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557916410_chunk_1.flac,hindi,1.163,0.0,0.07894736842105263,vad_ratio=0.0789 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557916690_chunk_1.flac,hindi,1.42,0.0,0.19148936170212766,vad_ratio=0.1915 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557916683_chunk_1.flac,hindi,5.344,0.0,0.2247191011235955,vad_ratio=0.2247 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557918587_chunk_1.flac,hindi,0.638,0.0,0.19047619047619047,vad_ratio=0.1905 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557920213_chunk_1.flac,hindi,0.735,0.0,0.25,vad_ratio=0.25 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557925496_chunk_1.flac,hindi,4.483,0.0,0.2080536912751678,vad_ratio=0.2081 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557925497_chunk_1.flac,hindi,5.336,0.0,0.05649717514124294,vad_ratio=0.0565 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557926827_chunk_12.flac,hindi,3.376,0.0,0.26785714285714285,vad_ratio=0.2679 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557928499_chunk_1.flac,hindi,1.524,0.0,0.26,vad_ratio=0.26 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557928810_chunk_18.flac,hindi,4.443,0.0,0.2905405405405405,vad_ratio=0.2905 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557929359_chunk_1.flac,hindi,2.012,0.0,0.2537313432835821,vad_ratio=0.2537 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557929359_chunk_11.flac,hindi,1.899,0.0,0.19047619047619047,vad_ratio=0.1905 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557929359_chunk_21.flac,hindi,1.614,0.0,0.11320754716981132,vad_ratio=0.1132 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557929359_chunk_26.flac,hindi,2.634,0.0,0.27586206896551724,vad_ratio=0.2759 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557929359_chunk_22.flac,hindi,5.102,0.0,0.27647058823529413,vad_ratio=0.2765 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557929359_chunk_32.flac,hindi,2.211,0.0,0.1643835616438356,vad_ratio=0.1644 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557929359_chunk_35.flac,hindi,1.843,0.0,0.2459016393442623,vad_ratio=0.2459 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557929359_chunk_38.flac,hindi,2.521,0.0,0.15476190476190477,vad_ratio=0.1548 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557929397_chunk_31.flac,hindi,6.494,0.0,0.25925925925925924,vad_ratio=0.2593 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557976695_chunk_1.flac,hindi,1.316,0.0,0.2558139534883721,vad_ratio=0.2558 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557978249_chunk_1.flac,hindi,1.008,0.0,0.18181818181818182,vad_ratio=0.1818 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557979444_chunk_1.flac,hindi,7.383,0.0,0.2073170731707317,vad_ratio=0.2073 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024557994473_chunk_1.flac,hindi,2.909,0.0,0.22916666666666666,vad_ratio=0.2292 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024558004204_chunk_1.flac,hindi,0.448,0.0,0.21428571428571427,vad_ratio=0.2143 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024558006466_chunk_1.flac,hindi,1.098,0.0,0.2777777777777778,vad_ratio=0.2778 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024558019174_chunk_1.flac,hindi,2.055,0.0,0.2647058823529412,vad_ratio=0.2647 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024558041414_chunk_1.flac,hindi,9.7,0.0,0.0,vad_ratio=0.0 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024558052980_chunk_1.flac,hindi,15.628,0.0,0.14038461538461539,vad_ratio=0.1404 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024558050963_chunk_1.flac,hindi,26.56,0.0,0.013559322033898305,vad_ratio=0.0136 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5348024558050959_chunk_1.flac,hindi,27.327,0.0,0.13956043956043956,vad_ratio=0.1396 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\58e3fe1a-bcdf-4034-b6f2-eb84720e49dd_0_chunk_1.flac,hindi,1.737,0.0,0.22807017543859648,vad_ratio=0.2281 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\58e3fe1a-bcdf-4034-b6f2-eb84720e49dd_0_chunk_20.flac,hindi,1.102,0.0,0.2777777777777778,vad_ratio=0.2778 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5d13555d-7dbd-43d5-8cf0-90786c48ea25_0_chunk_11.flac,hindi,1.776,0.0,0.22033898305084745,vad_ratio=0.2203 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5d13555d-7dbd-43d5-8cf0-90786c48ea25_0_chunk_1.flac,hindi,3.498,0.0,0.1810344827586207,vad_ratio=0.181 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5d13555d-7dbd-43d5-8cf0-90786c48ea25_0_chunk_12.flac,hindi,1.513,0.0,0.18,vad_ratio=0.18 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5d13555d-7dbd-43d5-8cf0-90786c48ea25_0_chunk_17.flac,hindi,1.729,0.0,0.24561403508771928,vad_ratio=0.2456 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5d13555d-7dbd-43d5-8cf0-90786c48ea25_0_chunk_18.flac,hindi,2.923,0.0,0.21649484536082475,vad_ratio=0.2165 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5d13555d-7dbd-43d5-8cf0-90786c48ea25_0_chunk_3.flac,hindi,1.739,0.0,0.2807017543859649,vad_ratio=0.2807 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5d13555d-7dbd-43d5-8cf0-90786c48ea25_0_chunk_23.flac,hindi,4.646,0.0,0.13636363636363635,vad_ratio=0.1364 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5d13555d-7dbd-43d5-8cf0-90786c48ea25_0_chunk_27.flac,hindi,3.852,0.0,0.125,vad_ratio=0.125 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5d13555d-7dbd-43d5-8cf0-90786c48ea25_0_chunk_22.flac,hindi,5.645,0.0,0.09574468085106383,vad_ratio=0.0957 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5d13555d-7dbd-43d5-8cf0-90786c48ea25_0_chunk_9.flac,hindi,1.838,0.0,0.2786885245901639,vad_ratio=0.2787 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\5d46e070-5aba-416f-8427-cad271059caf_0_chunk_22.flac,hindi,1.461,0.0,0.16666666666666666,vad_ratio=0.1667 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\6e6040bb-9026-460a-bf9f-b37eccd26a95_0_chunk_1.flac,hindi,2.041,0.0,0.25,vad_ratio=0.25 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\6e6040bb-9026-460a-bf9f-b37eccd26a95_0_chunk_2.flac,hindi,2.276,0.0,0.28,vad_ratio=0.28 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\6e6040bb-9026-460a-bf9f-b37eccd26a95_0_chunk_3.flac,hindi,1.639,0.0,0.2222222222222222,vad_ratio=0.2222 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\6e6040bb-9026-460a-bf9f-b37eccd26a95_0_chunk_8.flac,hindi,3.276,0.0,0.25688073394495414,vad_ratio=0.2569 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\7367297f-ae22-44ab-917b-346d7bc26750_0_chunk_8.flac,hindi,2.868,0.0,0.24210526315789474,vad_ratio=0.2421 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\7367297f-ae22-44ab-917b-346d7bc26750_0_chunk_11.flac,hindi,6.011,0.0,0.28,vad_ratio=0.28 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\7367297f-ae22-44ab-917b-346d7bc26750_0_chunk_5.flac,hindi,7.998,0.0,0.16165413533834586,vad_ratio=0.1617 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\73f25eb4-e823-4133-97c1-fad4b4d4d95e_0_chunk_1.flac,hindi,1.51,0.0,0.18,vad_ratio=0.18 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\73f25eb4-e823-4133-97c1-fad4b4d4d95e_0_chunk_11.flac,hindi,1.602,0.0,0.22641509433962265,vad_ratio=0.2264 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\73f25eb4-e823-4133-97c1-fad4b4d4d95e_0_chunk_17.flac,hindi,1.676,0.0,0.09090909090909091,vad_ratio=0.0909 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\73f25eb4-e823-4133-97c1-fad4b4d4d95e_0_chunk_15.flac,hindi,4.24,0.0,0.14184397163120568,vad_ratio=0.1418 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\73f25eb4-e823-4133-97c1-fad4b4d4d95e_0_chunk_24.flac,hindi,1.944,0.0,0.09375,vad_ratio=0.0938 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\73f25eb4-e823-4133-97c1-fad4b4d4d95e_0_chunk_23.flac,hindi,2.639,0.0,0.16091954022988506,vad_ratio=0.1609 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\73f25eb4-e823-4133-97c1-fad4b4d4d95e_0_chunk_4.flac,hindi,1.587,0.0,0.19230769230769232,vad_ratio=0.1923 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\73f25eb4-e823-4133-97c1-fad4b4d4d95e_0_chunk_13.flac,hindi,6.093,0.0,0.27586206896551724,vad_ratio=0.2759 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\73f25eb4-e823-4133-97c1-fad4b4d4d95e_0_chunk_19.flac,hindi,5.638,0.0,0.0748663101604278,vad_ratio=0.0749 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\73f25eb4-e823-4133-97c1-fad4b4d4d95e_0_chunk_7.flac,hindi,1.275,0.0,0.16666666666666666,vad_ratio=0.1667 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\73f25eb4-e823-4133-97c1-fad4b4d4d95e_0_chunk_18.flac,hindi,7.179,0.0,0.10460251046025104,vad_ratio=0.1046 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\742056aa-c062-4efc-8e70-7618c0925f03_1_chunk_1.flac,hindi,2.002,0.0,0.2727272727272727,vad_ratio=0.2727 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\73f25eb4-e823-4133-97c1-fad4b4d4d95e_0_chunk_6.flac,hindi,4.443,0.0,0.1554054054054054,vad_ratio=0.1554 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\7ccb3ad9-2f88-4a25-8477-b2e38d05ffbe_1_chunk_21.flac,hindi,0.396,0.0,0.23076923076923078,vad_ratio=0.2308 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\7f85a1a2-b6be-4fdb-9a4e-59854a63f8df_0_chunk_12.flac,hindi,3.82,0.0,0.14960629921259844,vad_ratio=0.1496 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\8111f4dd-5fdb-43ee-ad20-a2f07fee9992_1_chunk_10.flac,hindi,1.611,0.0,0.1509433962264151,vad_ratio=0.1509 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\8111f4dd-5fdb-43ee-ad20-a2f07fee9992_1_chunk_1.flac,hindi,2.17,0.0,0.25,vad_ratio=0.25 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\8111f4dd-5fdb-43ee-ad20-a2f07fee9992_1_chunk_15.flac,hindi,2.202,0.0,0.273972602739726,vad_ratio=0.274 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\8111f4dd-5fdb-43ee-ad20-a2f07fee9992_1_chunk_2.flac,hindi,2.863,0.0,0.17894736842105263,vad_ratio=0.1789 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\8111f4dd-5fdb-43ee-ad20-a2f07fee9992_1_chunk_6.flac,hindi,1.906,0.0,0.1746031746031746,vad_ratio=0.1746 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\8111f4dd-5fdb-43ee-ad20-a2f07fee9992_1_chunk_7.flac,hindi,1.997,0.0,0.25757575757575757,vad_ratio=0.2576 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\8111f4dd-5fdb-43ee-ad20-a2f07fee9992_1_chunk_8.flac,hindi,1.787,0.0,0.2033898305084746,vad_ratio=0.2034 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\8111f4dd-5fdb-43ee-ad20-a2f07fee9992_1_chunk_9.flac,hindi,2.29,0.0,0.2894736842105263,vad_ratio=0.2895 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\8157fc42-21ee-4ee3-9a75-521563c71cdb_0_chunk_24.flac,hindi,2.812,0.0,0.23655913978494625,vad_ratio=0.2366 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\883c3d9d-9047-4334-8195-9a76e8fc7fe2_0_chunk_10.flac,hindi,0.357,0.0,0.18181818181818182,vad_ratio=0.1818 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\8a277908-4dab-401a-a40f-f89918bb591f_0_chunk_11.flac,hindi,1.101,0.00028383287920072663,0.25,vad_ratio=0.25 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\8a277908-4dab-401a-a40f-f89918bb591f_0_chunk_1.flac,hindi,1.772,0.0,0.23728813559322035,vad_ratio=0.2373 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\8a277908-4dab-401a-a40f-f89918bb591f_0_chunk_18.flac,hindi,3.984,0.0,0.18181818181818182,vad_ratio=0.1818 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\8a277908-4dab-401a-a40f-f89918bb591f_0_chunk_26.flac,hindi,1.354,0.00013847858197932054,0.15555555555555556,vad_ratio=0.1556 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\8a277908-4dab-401a-a40f-f89918bb591f_0_chunk_22.flac,hindi,4.202,0.0001933603046168491,0.24285714285714285,vad_ratio=0.2429 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\8a277908-4dab-401a-a40f-f89918bb591f_0_chunk_29.flac,hindi,2.629,0.00014263978699125142,0.1724137931034483,vad_ratio=0.1724 < adaptive_floor=0.2909
